Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules,Algorithm
merged_dataset,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,138500,15389,15345,44,0,99.714081,0.285919,0,0.886899,0.001231,0.025431,15.366375,40.234898,2176.885462,176.430751,2000.454711,0.141457,0.011465,0.129993,1536.128485,0.09982,70.565425,1,48,0.000065,1,0.999935,15340,0,0,0.979592,1,0.989691,0.989711,0.999976,0.986436,0.997141,0.195363,0.804637,0.002859,?,0.997141,?,?,0.999151,0.997682,?,0.997141,0.8,0.054,0.765625,0.046875,765.625,46.875,209703,10861009,1381462,99.941517,14.443526,'Number of leaves: 30\nSize of the tree: 41\n',41,30,30,tree_J48
merged_dataset,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,138500,15389,15348,41,0,99.733576,0.266424,0,0.895927,0.001184,0.024668,14.771631,39.027465,2176.885462,162.739591,2014.145871,0.141457,0.010575,0.130882,1539.240238,0.100022,70.708371,1,48,0.00013,2,0.99987,15339,0,0,0.96,1,0.979592,0.979732,0.999965,0.983824,0.997336,0.17719,0.82281,0.002664,?,0.997336,?,?,0.999198,0.997901,?,0.997336,0.515,0.014,0.453125,0.015625,453.125,15.625,209703,10861009,1381462,99.961011,14.442598,'Number of leaves: 30\nSize of the tree: 41\n',41,30,30,tree_J48
merged_dataset,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,138500,15389,15349,40,0,99.740074,0.259926,0,0.897699,0.001218,0.024433,15.200107,38.656748,2176.885462,160.641891,2016.243571,0.141457,0.010439,0.131018,1501.012791,0.097538,68.952309,1,48,0,0,1,15341,0,0,1,1,1,1,1,1,0.997401,0.181733,0.818267,0.002599,?,0.997401,?,?,0.999143,0.99786,?,0.997401,0.473,0.019,0.453125,0.03125,453.125,31.25,209703,10861009,1381462,99.967509,14.453738,'Number of leaves: 30\nSize of the tree: 41\n',41,30,30,tree_J48
merged_dataset,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,138500,15389,15352,37,0,99.759569,0.240431,0,0.906081,0.001132,0.023368,14.122569,36.971785,2178.2052,142.229555,2035.975644,0.141543,0.009242,0.132301,1549.793705,0.100708,71.150032,1,48,0,0,1,15341,0,0,1,1,1,1,1,1,0.997596,0.168103,0.831897,0.002404,?,0.997596,?,?,0.999252,0.99806,?,0.997596,0.428,0.01,0.40625,0.015625,406.25,15.625,209703,10861009,1381462,99.987004,14.443526,'Number of leaves: 30\nSize of the tree: 41\n',41,30,30,tree_J48
merged_dataset,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,138500,15389,15347,42,0,99.727078,0.272922,0,0.893657,0.001266,0.025221,15.767175,39.812221,2186.9546,2307.624407,-120.669808,0.142112,0.149953,-0.007841,1488.742546,0.096741,68.073775,0.979167,47,0.000065,1,0.999935,15340,0.020833,1,0.979167,0.979167,0.979167,0.979101,0.989554,0.966477,0.997271,0.180887,0.819113,0.002729,?,0.997271,?,?,0.996781,0.997698,?,0.997271,0.438,0.009,0.40625,0.015625,406.25,15.625,209703,10861009,1381462,99.961011,14.454666,'Number of leaves: 30\nSize of the tree: 41\n',41,30,30,tree_J48
merged_dataset,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,138500,15389,15346,43,0,99.72058,0.27942,0,0.890304,0.00117,0.024969,14.572165,39.414055,2186.928555,166.07615,2020.852405,0.14211,0.010792,0.131318,1584.516569,0.102964,72.45397,1,47,0.000065,1,0.999935,15341,0,0,0.979167,1,0.989474,0.989496,0.999994,0.996454,0.997206,0.189932,0.810068,0.002794,?,0.997206,?,?,0.999224,0.997814,?,0.997206,0.43,0.013,0.421875,0.015625,421.875,15.625,209703,10861009,1381462,99.954513,14.4361,'Number of leaves: 30\nSize of the tree: 41\n',41,30,30,tree_J48
merged_dataset,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,138500,15389,15350,39,0,99.746572,0.253428,0,0.901005,0.001232,0.024212,15.346603,38.219506,2186.479748,157.579687,2028.900061,0.142081,0.01024,0.131841,1496.393547,0.097238,68.438482,1,48,0,0,1,15341,0,0,1,1,1,1,1,1,0.997466,0.176365,0.823635,0.002534,?,0.997466,?,?,0.999145,0.997907,?,0.997466,0.406,0.009,0.390625,0,390.625,0,209703,10861009,1381462,99.974007,14.456523,'Number of leaves: 30\nSize of the tree: 41\n',41,30,30,tree_J48
merged_dataset,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,138500,15389,15350,39,0,99.746572,0.253428,0,0.901005,0.001196,0.024113,14.899167,38.06272,2186.479748,155.033751,2031.445997,0.142081,0.010074,0.132006,1519.552722,0.098743,69.497681,1,48,0,0,1,15341,0,0,1,1,1,1,1,1,0.997466,0.176365,0.823635,0.002534,?,0.997466,?,?,0.999174,0.997921,?,0.997466,0.407,0.009,0.375,0,375,0,209703,10861009,1381462,99.974007,14.451881,'Number of leaves: 30\nSize of the tree: 41\n',41,30,30,tree_J48
merged_dataset,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,138500,15389,15347,42,0,99.727078,0.272922,0,0.892585,0.001252,0.025044,15.588923,39.532415,2187.348705,171.281734,2016.066971,0.142137,0.01113,0.131007,1497.611092,0.097317,68.466957,1,48,0,0,1,15341,0,0,1,1,1,1,1,1,0.997271,0.189931,0.810069,0.002729,?,0.997271,?,?,0.999097,0.997738,?,0.997271,0.414,0.009,0.421875,0,421.875,0,209703,10861009,1381462,99.954513,14.456523,'Number of leaves: 30\nSize of the tree: 41\n',41,30,30,tree_J48
merged_dataset,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20250404.0935,138501,15388,15346,42,0,99.72706,0.27294,0,0.893121,0.001227,0.025073,15.319013,39.666774,2176.864846,170.772319,2006.092526,0.141465,0.011098,0.130367,1509.648237,0.098106,69.349654,1,48,0.00013,2,0.99987,15338,0,0,0.96,1,0.979592,0.979732,0.999962,0.979848,0.997271,0.181733,0.818267,0.002729,?,0.997271,?,?,0.999141,0.997811,?,0.997271,0.411,0.008,0.421875,0,421.875,0,209703,10861086,1381385,99.95451,14.449107,'Number of leaves: 30\nSize of the tree: 41\n',41,30,30,tree_J48
