Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureOutOfBagError,Algorithm
merged_dataset_part1,1,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250407.0642,160688,17855,17555,300,0,98.319798,1.680202,0,0.251592,0.005661,0.043908,51.000933,58.974445,3150.490312,649.011022,2501.47929,0.176449,0.036349,0.1401,653.944097,0.036625,20.756899,0.005952,1,0,0,1,17687,0.994048,167,1,0.005952,0.011834,0.07679,1,1,0.983198,0.837899,0.162101,0.016802,?,0.983198,?,?,0.999999,1,?,0.983198,91.53,1.118,40.84375,0.703125,40843.75,703.125,173893181,12549918,1551777,100,15.057007,?,-1,tree_RandomForest
merged_dataset_part1,1,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250407.0644,160688,17855,17601,254,0,98.577429,1.422571,0,0.432685,0.005939,0.04601,53.43444,61.70982,3160.656912,696.628271,2464.028642,0.177018,0.039016,0.138002,449.335001,0.025166,14.216507,0,0,0,0,1,17687,1,168,?,0,?,?,0.998406,0.830653,0.985774,0.707365,0.292635,0.014226,?,0.985774,?,?,0.999092,0.998344,?,0.985774,96.201,1.754,42.421875,0.453125,42421.875,453.125,179358099,12549918,1551777,100,15.145817,?,-1,tree_RandomForest
merged_dataset_part1,1,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250407.0645,160688,17855,17534,321,0,98.202184,1.797816,0,0.160453,0.006003,0.045564,54.009828,61.111894,3160.656912,694.360003,2466.296909,0.177018,0.038889,0.138129,425.195275,0.023814,13.45275,0,0,0,0,1,17687,1,168,?,0,?,?,0.999985,0.998337,0.982022,0.893954,0.106046,0.017978,?,0.982022,?,?,0.999968,0.999978,?,0.982022,76.894,1.532,41.578125,0.328125,41578.125,328.125,175163047,12549918,1551777,100,15.146618,?,-1,tree_RandomForest
merged_dataset_part1,1,4,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250407.0647,160689,17854,17526,328,0,98.162877,1.837123,0,0.121895,0.006245,0.048097,56.255211,64.599055,3150.079763,742.794839,2407.284924,0.176436,0.041604,0.134832,270.718486,0.015163,8.59402,0,0,0,0,1,17686,1,168,?,0,?,?,0.999625,0.921248,0.981629,0.916102,0.083898,0.018371,?,0.981629,?,?,0.999704,0.999147,?,0.981629,118.081,1.049,45.546875,0.4375,45546.875,437.5,186315158,12549995,1551700,100,15.188273,?,-1,tree_RandomForest
merged_dataset_part1,1,5,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250407.0649,160689,17854,17558,296,0,98.342108,1.657892,0,0.268707,0.005792,0.04546,52.174985,61.056603,3150.079763,676.512336,2473.567427,0.176436,0.037891,0.138544,638.367675,0.035755,20.265127,0,0,0,0,1,17686,1,168,?,0,?,?,0.999629,0.950923,0.983421,0.826726,0.173274,0.016579,?,0.983421,?,?,0.99979,0.99953,?,0.983421,96.068,1.429,42.6875,0.46875,42687.5,468.75,176113968,12549995,1551700,100,15.05705,?,-1,tree_RandomForest
merged_dataset_part1,1,6,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250407.0651,160689,17854,17590,264,0,98.52134,1.47866,0,0.394492,0.00545,0.042336,49.09275,56.861699,3148.962457,620.408644,2528.553813,0.176373,0.034749,0.141624,784.380971,0.043933,24.909188,0,0,0,0,1,17685,1,169,?,0,?,?,1,1,0.985213,0.73735,0.26265,0.014787,?,0.985213,?,?,1,1,?,0.985213,90.914,1.077,41.484375,0.328125,41484.375,328.125,172660874,12549995,1551700,100,15.076253,?,-1,tree_RandomForest
merged_dataset_part1,1,7,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250407.0652,160689,17854,17559,295,0,98.347709,1.652291,0,0.272919,0.005944,0.045856,53.545999,61.588191,3150.077467,695.000216,2455.077251,0.176435,0.038927,0.137509,423.839021,0.023739,13.454876,0,0,0,0,1,17686,1,168,?,0,?,?,0.99965,0.897352,0.983477,0.823933,0.176067,0.016523,?,0.983477,?,?,0.999808,0.99903,?,0.983477,83.349,1.463,46.25,0.484375,46250,484.375,175256606,12549995,1551700,100,15.133063,?,-1,tree_RandomForest
merged_dataset_part1,1,8,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250407.0654,160689,17854,17521,333,0,98.134872,1.865128,0,0.096661,0.006439,0.049437,58.005393,66.39773,3150.461587,780.43388,2370.027707,0.176457,0.043712,0.132745,142.19128,0.007964,4.513348,0,0,0,0,1,17686,1,168,?,0,?,?,0.997774,0.667738,0.981349,0.930067,0.069933,0.018651,?,0.981349,?,?,0.998639,0.996783,?,0.981349,98.589,1.876,47.828125,0.578125,47828.125,578.125,190640028,12549995,1551700,100,15.221879,?,-1,tree_RandomForest
merged_dataset_part1,1,9,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250407.0656,160689,17854,17591,263,0,98.526941,1.473059,0,0.398117,0.005928,0.045149,53.400398,60.638532,3150.461587,686.838354,2463.623232,0.176457,0.03847,0.137987,407.069239,0.0228,12.92094,0,0,0,0,1,17686,1,168,?,0,?,?,0.999885,0.985646,0.985269,0.734557,0.265443,0.014731,?,0.985269,?,?,0.999909,0.99986,?,0.985269,104.816,0.829,41.890625,0.421875,41890.625,421.875,179255840,12549995,1551700,100,15.146666,?,-1,tree_RandomForest
merged_dataset_part1,1,10,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250407.0657,160689,17854,17525,329,0,98.157276,1.842724,0,0.116902,0.006236,0.048029,56.17922,64.506652,3150.461587,738.531555,2411.930031,0.176457,0.041365,0.135092,380.720418,0.021324,12.084592,0,0,0,0,1,17686,1,168,?,0,?,?,0.999893,0.984227,0.981573,0.918895,0.081105,0.018427,?,0.981573,?,?,0.999796,0.999457,?,0.981573,80.693,1.034,42.234375,0.46875,42234.375,468.75,182031558,12549995,1551700,100,15.117861,?,-1,tree_RandomForest
