@relation InstanceResultListener

@attribute Key_Dataset {merged_dataset,merged_dataset_part1,merged_dataset_part2,merged_dataset_part3,merged_dataset_part4}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.bayes.BayesNet,weka.classifiers.bayes.NaiveBayes,weka.classifiers.bayes.NaiveBayesUpdateable}
@attribute Key_Scheme_options {'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',''}
@attribute Key_Scheme_version_ID {746037443258775954,5995231201785697655,-5354015843807192221}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureExtraArcs numeric
@attribute measureMissingArcs numeric
@attribute measureReversedArcs numeric
@attribute measureDivergence numeric
@attribute measureBayesScore numeric
@attribute measureBDeuScore numeric
@attribute measureMDLScore numeric
@attribute measureAICScore numeric
@attribute measureEntropyScore numeric

@data

merged_dataset,1,1,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20250403.1629,138500,15389,15158,231,0,98.498928,1.501072,0,0.530852,0.005386,0.059344,67.21874,93.890537,2176.885462,1756.997807,419.887655,0.141457,0.114172,0.027285,-832.489321,-0.054096,-38.24222,0.333333,16,0.001369,21,0.998631,15320,0.666667,32,0.432432,0.333333,0.376471,0.377969,0.989933,0.421267,0.984989,0.38166,0.61834,0.015011,0.99023,0.984989,0.986372,0.533194,0.990499,0.997858,0.665674,0.984989,0.3,0.046,0.296875,0.046875,296.875,46.875,504016,10861009,1381462,99.155241,15.093341,?,0,0,0,0,-2065665.604513,-2559920.449017,-2433188.35431,-2250066.935244,-2212841.935244
merged_dataset,1,2,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20250403.1629,138500,15389,15153,236,0,98.466437,1.533563,0,0.538218,0.005392,0.058703,67.299583,92.875853,2176.885462,1781.050217,395.835245,0.141457,0.115735,0.025722,-974.816554,-0.063345,-44.780333,0.458333,22,0.001825,28,0.998175,15313,0.541667,26,0.44,0.458333,0.44898,0.447314,0.989238,0.582326,0.984664,0.349859,0.650141,0.015336,0.990553,0.984664,0.986388,0.543244,0.99088,0.998345,0.685772,0.984664,0.314,0.028,0.3125,0.03125,312.5,31.25,504109,10861009,1381462,99.129248,15.110051,?,0,0,0,0,-2051590.112513,-2545899.60903,-2419181.64536,-2236025.791105,-2198793.791105
merged_dataset,1,3,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20250403.1629,138500,15389,15152,237,0,98.459939,1.540061,0,0.52625,0.005586,0.060204,69.721943,95.250959,2176.885462,1910.653461,266.232001,0.141457,0.124157,0.0173,-1021.41022,-0.066373,-46.920715,0.395833,19,0.000978,15,0.999022,15326,0.604167,29,0.558824,0.395833,0.463415,0.468944,0.987971,0.558865,0.984599,0.377118,0.622882,0.015401,0.99055,0.984599,0.986154,0.529614,0.988353,0.998109,0.673038,0.984599,0.301,0.027,0.3125,0.015625,312.5,15.625,504115,10861009,1381462,99.044772,15.117477,?,0,0,0,0,-2066053.141688,-2560362.638205,-2433629.803625,-2250473.94937,-2213241.94937
merged_dataset,1,4,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20250403.1629,138500,15389,15154,235,0,98.472935,1.527065,0,0.530241,0.005498,0.060068,68.62243,95.03452,2178.2052,1825.852311,352.352889,0.141543,0.118647,0.022896,-974.72007,-0.063339,-44.748772,0.375,18,0.001304,20,0.998696,15321,0.625,30,0.473684,0.375,0.418605,0.419862,0.986436,0.501481,0.984729,0.372575,0.627425,0.015271,0.990534,0.984729,0.986273,0.533638,0.986951,0.997904,0.680162,0.984729,0.304,0.028,0.3125,0.015625,312.5,15.625,504115,10861009,1381462,99.05127,15.097054,?,0,0,0,0,-2065629.623513,-2559939.12003,-2433218.805263,-2250062.951007,-2212830.951007
merged_dataset,1,5,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20250403.1629,138500,15389,15129,260,0,98.310482,1.689518,0,0.487322,0.005812,0.062014,72.395425,97.890765,2186.9546,1985.756123,201.198476,0.142112,0.129037,0.013074,-1061.388533,-0.068971,-48.532719,0.375,18,0.001434,22,0.998566,15319,0.625,30,0.45,0.375,0.409091,0.409114,0.983838,0.49933,0.983105,0.416065,0.583935,0.016895,0.989229,0.983105,0.984607,0.490404,0.98681,0.997756,0.626545,0.983105,0.296,0.028,0.296875,0.03125,296.875,31.25,504123,10861009,1381462,99.012281,15.108194,?,0,0,0,0,-2065645.664128,-2559955.160645,-2433231.001537,-2250075.147281,-2212843.147281
merged_dataset,1,6,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20250403.1629,138500,15389,15164,225,0,98.537917,1.462083,0,0.546651,0.005238,0.057796,65.23876,91.232697,2186.928555,1697.885195,489.04336,0.14211,0.110331,0.031779,-905.236205,-0.058824,-41.39304,0.404255,19,0.00163,25,0.99837,15317,0.595745,28,0.431818,0.404255,0.417582,0.416085,0.98937,0.527662,0.985379,0.361796,0.638204,0.014621,0.990545,0.985379,0.98675,0.549409,0.98899,0.997947,0.682176,0.985379,0.303,0.028,0.296875,0.03125,296.875,31.25,504218,10861009,1381462,99.161739,15.115621,?,0,0,0,0,-2051817.812348,-2546182.181187,-2419463.240171,-2236272.950725,-2199033.950725
merged_dataset,1,7,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20250403.1629,138500,15389,15129,260,0,98.310482,1.689518,0,0.479255,0.005766,0.062578,71.824319,98.781672,2186.479748,2028.30173,158.178017,0.142081,0.131802,0.010279,-1017.817819,-0.066139,-46.550526,0.333333,16,0.001304,20,0.998696,15321,0.666667,32,0.444444,0.333333,0.380952,0.383245,0.978693,0.435928,0.983105,0.434153,0.565847,0.016895,0.989402,0.983105,0.984524,0.481366,0.98391,0.997574,0.634525,0.983105,0.305,0.03,0.3125,0.03125,312.5,31.25,504111,10861009,1381462,98.9473,15.092413,?,0,0,0,0,-2065533.527814,-2559843.024332,-2433129.101111,-2249973.246856,-2212741.246856
merged_dataset,1,8,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20250403.1629,138500,15389,15151,238,0,98.453441,1.546559,0,0.527034,0.00558,0.060924,69.506823,96.17054,2186.479748,1923.861177,262.618571,0.142081,0.125015,0.017065,-1015.547578,-0.065992,-46.446695,0.5,24,0.000847,13,0.999153,15328,0.5,24,0.648649,0.5,0.564706,0.568326,0.98886,0.600834,0.984534,0.375363,0.624637,0.015466,0.990714,0.984534,0.986113,0.530521,0.986219,0.997941,0.670951,0.984534,0.309,0.028,0.3125,0.03125,312.5,31.25,504212,10861009,1381462,99.005783,15.099839,?,0,0,0,0,-2051728.319405,-2546092.688244,-2419380.782811,-2236190.493366,-2198951.493366
merged_dataset,1,9,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20250403.1629,138500,15389,15152,237,0,98.459939,1.540061,0,0.544158,0.005677,0.060721,70.70667,95.849095,2187.348705,1912.67502,274.673684,0.142137,0.124288,0.017849,-1090.930085,-0.07089,-49.874539,0.458333,22,0.001369,21,0.998631,15320,0.541667,26,0.511628,0.458333,0.483516,0.482723,0.989929,0.558349,0.984599,0.334665,0.665335,0.015401,0.991046,0.984599,0.986572,0.550429,0.988921,0.998198,0.694317,0.984599,0.359,0.031,0.34375,0.03125,343.75,31.25,504420,10861009,1381462,99.025278,15.144398,?,0,0,0,0,-2069326.725335,-2563801.481813,-2437070.432549,-2253811.272725,-2216558.272725
