@relation InstanceResultListener

@attribute Key_Dataset {merged_dataset,merged_dataset_part1,merged_dataset_part2,merged_dataset_part3,merged_dataset_part4}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.REPTree}
@attribute Key_Scheme_options {'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0'}
@attribute Key_Scheme_version_ID {-9216785998198681299}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureTreeSize numeric

@data

merged_dataset,1,1,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0937,138500,15389,15219,170,0,98.895315,1.104685,0,0.363707,0.005958,0.055956,74.361443,88.529024,2176.885462,116499.375271,-114322.489809,0.141457,7.570302,-7.428845,-4139.648382,-0.269,-190.163812,0,0,0.00013,2,0.99987,15339,1,48,0,0,0,-0.000638,0.90307,0.045528,0.988953,0.763277,0.236723,0.011047,?,0.988953,?,?,0.847057,0.986337,?,0.988953,12.029,0.018,2.96875,0.015625,2968.75,15.625,1584163,10861009,1381462,99.090259,16.266721,?,5303
merged_dataset,1,2,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0937,138500,15389,15223,166,0,98.921307,1.078693,0,0.400751,0.005929,0.054905,74.003773,86.867103,2176.885462,112187.639883,-110010.754421,0.141457,7.290119,-7.148662,-4231.317793,-0.274957,-194.374847,0,0,0.000065,1,0.999935,15340,1,48,0,0,0,-0.000451,0.958128,0.067633,0.989213,0.731474,0.268526,0.010787,?,0.989213,?,?,0.864528,0.987048,?,0.989213,9.164,0.011,2.6875,0.015625,2687.5,15.625,1577553,10861009,1381462,99.19423,16.374405,?,5279
merged_dataset,1,3,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0937,138500,15389,15219,170,0,98.895315,1.104685,0,0.363703,0.005864,0.05594,73.191833,88.504911,2176.885462,114369.034941,-112192.149479,0.141457,7.431869,-7.290412,-3941.304972,-0.256112,-181.052473,0,0,0.00013,2,0.99987,15339,1,48,0,0,0,-0.000638,0.942096,0.048771,0.988953,0.763277,0.236723,0.011047,?,0.988953,?,?,0.862107,0.98663,?,0.988953,6.779,0.01,2.859375,0,2859.375,0,1579489,10861009,1381462,99.077263,16.198955,?,5288
merged_dataset,1,4,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0938,138500,15389,15219,170,0,98.895315,1.104685,0,0.37295,0.006053,0.055893,75.553613,88.42973,2178.2052,111168.119723,-108989.914524,0.141543,7.223869,-7.082326,-4306.286491,-0.279829,-197.698844,0,0,0.000065,1,0.999935,15340,1,48,0,0,0,-0.000451,0.94439,0.054796,0.988953,0.754191,0.245809,0.011047,?,0.988953,?,?,0.863398,0.986775,?,0.988953,6.563,0.01,2.875,0.015625,2875,15.625,1574874,10861009,1381462,99.109754,16.358624,?,5282
merged_dataset,1,5,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0938,138500,15389,15220,169,0,98.901813,1.098187,0,0.387766,0.00602,0.055626,74.988727,87.806466,2186.9546,115416.831955,-113229.877355,0.142112,7.499957,-7.357845,-4209.371818,-0.273531,-192.476415,0,0,0.000196,3,0.999804,15338,1,48,0,0,0,-0.000781,0.904435,0.050978,0.989018,0.741637,0.258363,0.010982,?,0.989018,?,?,0.870873,0.987116,?,0.989018,6.355,0.009,2.609375,0,2609.375,0,1583014,10861009,1381462,99.161739,16.331703,?,5310
merged_dataset,1,6,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0938,138500,15389,15214,175,0,98.862824,1.137176,0,0.366032,0.006,0.056245,74.736342,88.783778,2186.928555,115437.305202,-113250.376647,0.14211,7.501287,-7.359177,-4085.845935,-0.265504,-186.830335,0,0,0.000196,3,0.999804,15339,1,47,0,0,0,-0.000773,0.899104,0.039525,0.988628,0.755204,0.244796,0.011372,?,0.988628,?,?,0.846363,0.986193,?,0.988628,6.29,0.01,2.609375,0,2609.375,0,1585257,10861009,1381462,99.096757,16.250012,?,5316
merged_dataset,1,7,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0938,138500,15389,15217,172,0,98.882319,1.117681,0,0.392064,0.005988,0.05617,74.587809,88.665166,2186.479748,119706.991723,-117520.511975,0.142081,7.778738,-7.636657,-4073.401545,-0.264696,-186.299532,0,0,0.000391,6,0.999609,15335,1,48,0,0,0,-0.001105,0.939993,0.045313,0.988823,0.732594,0.267406,0.011177,?,0.988823,?,?,0.862692,0.986861,?,0.988823,6.604,0.008,2.84375,0,2843.75,0,1591311,10861009,1381462,99.077263,16.238872,?,5351
merged_dataset,1,8,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0938,138500,15389,15218,171,0,98.888817,1.111183,0,0.376073,0.005981,0.055875,74.501555,88.199858,2186.479748,113286.649828,-111100.170081,0.142081,7.361534,-7.219454,-4117.072437,-0.267533,-188.296848,0,0,0.000261,4,0.999739,15337,1,48,0,0,0,-0.000902,0.944098,0.052302,0.988888,0.750682,0.249318,0.011112,?,0.988888,?,?,0.87292,0.987104,?,0.988888,6.346,0.009,2.640625,0.015625,2640.625,15.625,1587032,10861009,1381462,99.148743,16.301997,?,5328
merged_dataset,1,9,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20250404.0938,138500,15389,15217,172,0,98.882319,1.117681,0,0.383486,0.005846,0.055709,72.81742,87.937767,2187.348705,110063.813896,-107876.465192,0.142137,7.15211,-7.009972,-3894.922533,-0.253098,-178.065917,0,0,0.000391,6,0.999609,15335,1,48,0,0,0,-0.001105,0.932261,0.048399,0.988823,0.741638,0.258362,0.011177,?,0.988823,?,?,0.873398,0.987264,?,0.988823,6.444,0.008,2.75,0.015625,2750,15.625,1602240,10861009,1381462,99.109754,16.188743,?,5382
